evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
34 km al SO de Parque Fray Jorge,-30.907 ,-71.893,2025-01-15,19:24:15,2025-01-15,22:24:15,20,km,2.8,Ml
21 km al N de Los Andes,-32.647 ,-70.640,2025-01-15,13:30:31,2025-01-15,16:30:31,96,km,2.7,Ml
52 km al SO de Mina La Escondida,-24.699 ,-69.249,2025-01-15,12:06:31,2025-01-15,15:06:31,101,km,4.1,Ml
11 km al O de Pichidangui,-32.158 ,-71.639,2025-01-15,12:00:49,2025-01-15,15:00:49,43,km,2.8,Ml
90 km al E de CombarbalÃ¡,-31.014 ,-70.080,2025-01-15,08:11:35,2025-01-15,11:11:35,133,km,2.8,Ml
50 km al NE de Mejillones,-22.886 ,-70.016,2025-01-15,07:49:33,2025-01-15,10:49:33,49,km,4.3,Ml
9 km al N de Petorca,-32.170 ,-70.902,2025-01-15,07:23:16,2025-01-15,10:23:16,79,km,3.2,Ml
41 km al S de Mina Collahuasi,-21.194 ,-68.676,2025-01-15,06:32:47,2025-01-15,09:32:47,100,km,2.7,Ml
78 km al E de Socaire,-23.814 ,-67.166,2025-01-15,06:00:13,2025-01-15,09:00:13,227,km,3.1,Ml
43 km al SO de Mina Collahuasi,-21.103 ,-68.941,2025-01-15,05:35:38,2025-01-15,08:35:38,111,km,2.7,Ml
32 km al N de ChillÃ¡n,-36.326 ,-72.197,2025-01-15,03:19:19,2025-01-15,06:19:19,56,km,2.7,Ml
118 km al O de TirÃºa,-38.639 ,-74.800,2025-01-15,02:00:56,2025-01-15,05:00:56,28,km,3.2,Ml
46 km al N de Paihuano,-29.623 ,-70.595,2025-01-15,01:54:31,2025-01-15,04:54:31,89,km,3.6,Ml
35 km al NO de Mejillones,-22.812 ,-70.578,2025-01-14,23:45:03,2025-01-15,02:45:03,16,km,2.6,Ml
29 km al SO de OllagÃ¼e,-21.452 ,-68.391,2025-01-14,22:34:54,2025-01-15,01:34:54,127,km,2.8,Ml
