evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de OllagÃ¼e,-21.382 ,-68.578,2025-01-09,19:46:05,2025-01-09,22:46:05,109,km,2.6,Ml
41 km al SO de Mina Collahuasi,-21.068 ,-68.953,2025-01-09,19:03:53,2025-01-09,22:03:53,110,km,2.8,Ml
38 km al N de CamiÃ±a,-18.968 ,-69.446,2025-01-09,17:52:31,2025-01-09,20:52:31,101,km,4.8,Mw
45 km al E de Mina Los Pelambres,-31.888 ,-70.118,2025-01-09,16:49:25,2025-01-09,19:49:25,133,km,3.3,Ml
20 km al NE de Pichidangui,-32.036 ,-71.358,2025-01-09,15:54:34,2025-01-09,18:54:34,55,km,2.5,Ml
34 km al N de Quintero,-32.486 ,-71.629,2025-01-09,08:06:13,2025-01-09,11:06:13,16,km,2.7,Ml
44 km al SE de CamiÃ±a,-19.595 ,-69.133,2025-01-09,06:01:05,2025-01-09,09:01:05,110,km,3.0,Ml
12 km al SO de Los Vilos,-31.991 ,-71.604,2025-01-09,04:27:39,2025-01-09,07:27:39,31,km,2.9,Ml
63 km al SO de OllagÃ¼e,-21.711 ,-68.571,2025-01-09,04:24:21,2025-01-09,07:24:21,125,km,4.0,Ml
15 km al SO de Pichidangui,-32.221 ,-71.658,2025-01-09,04:22:48,2025-01-09,07:22:48,44,km,3.7,Ml
18 km al SE de San Pedro de Atacama,-23.026 ,-68.071,2025-01-09,03:38:58,2025-01-09,06:38:58,181,km,3.1,Ml
50 km al SO de Mina Collahuasi,-21.125 ,-69.017,2025-01-09,01:53:11,2025-01-09,04:53:11,114,km,2.8,Ml
41 km al NO de Tongoy,-30.001 ,-71.802,2025-01-09,01:10:59,2025-01-09,04:10:59,40,km,2.6,Ml
29 km al NE de Pica,-20.270 ,-69.178,2025-01-09,00:49:16,2025-01-09,03:49:16,98,km,2.8,Ml
36 km al E de Mina La Escondida,-24.193 ,-68.710,2025-01-09,00:38:48,2025-01-09,03:38:48,111,km,2.6,Ml
49 km al N de Tocopilla,-21.655 ,-70.166,2025-01-08,23:51:15,2025-01-09,02:51:15,32,km,2.5,Ml
32 km al NO de Quintero,-32.543 ,-71.718,2025-01-08,22:14:33,2025-01-09,01:14:33,35,km,3.4,Ml
22 km al O de Tongoy,-30.311 ,-71.713,2025-01-08,21:24:25,2025-01-09,00:24:25,45,km,2.8,Ml
