evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al SE de Socaire,-23.833 ,-67.594,2025-01-12,19:57:11,2025-01-12,22:57:11,283,km,2.8,Ml
65 km al S de Socaire,-24.159 ,-67.767,2025-01-12,18:09:42,2025-01-12,21:09:42,236,km,3.4,Ml
58 km al SE de Putre,-18.682 ,-69.346,2025-01-12,16:42:04,2025-01-12,19:42:04,119,km,3.0,Ml
94 km al E de San Pedro de Atacama,-22.771 ,-67.302,2025-01-12,16:27:15,2025-01-12,19:27:15,242,km,3.5,Ml
52 km al E de CombarbalÃ¡,-31.034 ,-70.483,2025-01-12,15:06:50,2025-01-12,18:06:50,114,km,4.4,Mw
67 km al N de Mina La Escondida,-23.672 ,-69.126,2025-01-12,14:06:33,2025-01-12,17:06:33,92,km,2.7,Ml
43 km al E de Ilo,-17.673 ,-70.933,2025-01-12,13:35:04,2025-01-12,16:35:04,84,km,4.7,Mw
46 km al SO de Mina Collahuasi,-21.172 ,-68.907,2025-01-12,12:46:57,2025-01-12,15:46:57,116,km,3.0,Ml
27 km al O de Mina Collahuasi,-20.776 ,-68.911,2025-01-12,12:35:14,2025-01-12,15:35:14,100,km,2.5,Ml
41 km al E de Calama,-22.548 ,-68.539,2025-01-12,11:59:48,2025-01-12,14:59:48,113,km,2.7,Ml
53 km al NO de Tongoy,-29.972 ,-71.942,2025-01-12,11:41:22,2025-01-12,14:41:22,38,km,2.6,Ml
25 km al E de OllagÃ¼e,-21.265 ,-68.019,2025-01-12,09:25:32,2025-01-12,12:25:32,174,km,2.6,Ml
33 km al O de Pichidangui,-32.215 ,-71.863,2025-01-12,09:13:19,2025-01-12,12:13:19,18,km,3.5,Ml
72 km al S de Socaire,-24.210 ,-67.683,2025-01-12,04:49:58,2025-01-12,07:49:58,227,km,3.4,Ml
35 km al O de OllagÃ¼e,-21.205 ,-68.588,2025-01-12,04:28:15,2025-01-12,07:28:15,132,km,3.0,Ml
35 km al NE de Calama,-22.269 ,-68.672,2025-01-12,03:26:26,2025-01-12,06:26:26,114,km,2.7,Ml
66 km al E de Linares,-35.970 ,-70.877,2025-01-12,02:59:22,2025-01-12,05:59:22,162,km,2.6,Ml
42 km al NE de Pica,-20.276 ,-68.998,2025-01-12,01:51:26,2025-01-12,04:51:26,109,km,2.6,Ml
82 km al SE de Socaire,-24.122 ,-67.337,2025-01-12,01:48:24,2025-01-12,04:48:24,228,km,3.7,Ml
109 km al NE de Socaire,-22.962 ,-67.074,2025-01-11,23:55:15,2025-01-12,02:55:15,286,km,3.1,Ml
54 km al SO de Mina Collahuasi,-21.253 ,-68.912,2025-01-11,23:22:08,2025-01-12,02:22:08,116,km,2.5,Ml
36 km al NE de Calama,-22.246 ,-68.671,2025-01-11,22:26:20,2025-01-12,01:26:20,115,km,2.5,Ml
39 km al SO de OllagÃ¼e,-21.554 ,-68.391,2025-01-11,22:10:28,2025-01-12,01:10:28,132,km,3.9,Ml
38 km al SE de Mina Los Pelambres,-32.037 ,-70.278,2025-01-11,22:01:36,2025-01-12,01:01:36,140,km,2.6,Ml
84 km al S de Socaire,-24.348 ,-67.842,2025-01-11,21:51:59,2025-01-12,00:51:59,232,km,3.2,Ml
28 km al O de OllagÃ¼e,-21.276 ,-68.520,2025-01-11,21:13:47,2025-01-12,00:13:47,145,km,3.9,Ml
