evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al S de OllagÃ¼e,-21.578 ,-68.366,2025-01-05,18:35:52,2025-01-05,21:35:52,141,km,2.7,Ml
55 km al O de OllagÃ¼e,-21.412 ,-68.750,2025-01-05,17:11:36,2025-01-05,20:11:36,128,km,2.5,Ml
15 km al O de Colina,-33.247 ,-70.826,2025-01-05,17:00:54,2025-01-05,20:00:54,84,km,2.7,Ml
15 km al SO de Calama,-22.586 ,-69.011,2025-01-05,16:44:36,2025-01-05,19:44:36,115,km,2.6,Ml
73 km al SO de Socaire,-24.191 ,-68.180,2025-01-05,15:19:46,2025-01-05,18:19:46,263,km,2.9,Ml
35 km al O de Huasco,-28.360 ,-71.559,2025-01-05,14:00:22,2025-01-05,17:00:22,43,km,2.8,Ml
11 km al O de Santiago,-33.433 ,-70.773,2025-01-05,13:12:39,2025-01-05,16:12:39,84,km,2.8,Ml
37 km al S de OllagÃ¼e,-21.540 ,-68.365,2025-01-05,13:08:24,2025-01-05,16:08:24,151,km,2.8,Ml
17 km al NO de Mina Collahuasi,-20.763 ,-68.806,2025-01-05,10:53:10,2025-01-05,13:53:10,120,km,3.0,Ml
9 km al NE de Melipilla,-33.629 ,-71.140,2025-01-05,10:07:58,2025-01-05,13:07:58,67,km,3.0,Ml
58 km al N de Tocopilla,-21.573 ,-70.249,2025-01-05,09:26:59,2025-01-05,12:26:59,30,km,2.6,Ml
58 km al NO de Tongoy,-29.965 ,-71.997,2025-01-05,09:17:01,2025-01-05,12:17:01,41,km,2.5,Ml
87 km al SE de Socaire,-24.109 ,-67.255,2025-01-05,08:28:58,2025-01-05,11:28:58,261,km,3.3,Ml
10 km al NO de Arauco,-37.159 ,-73.357,2025-01-05,07:37:32,2025-01-05,10:37:32,35,km,2.5,Ml
63 km al S de Socaire,-24.126 ,-67.697,2025-01-05,05:38:43,2025-01-05,08:38:43,238,km,3.2,Ml
21 km al O de Ovalle,-30.598 ,-71.421,2025-01-05,05:24:22,2025-01-05,08:24:22,48,km,4.0,Ml
45 km al S de Mina La Escondida,-24.673 ,-69.016,2025-01-05,04:34:19,2025-01-05,07:34:19,106,km,3.0,Ml
34 km al NO de Quintero,-32.521 ,-71.723,2025-01-05,04:07:55,2025-01-05,07:07:55,33,km,3.0,Ml
37 km al NO de Quintero,-32.508 ,-71.767,2025-01-05,04:07:29,2025-01-05,07:07:29,33,km,3.2,Ml
52 km al SO de Mina Collahuasi,-21.175 ,-68.988,2025-01-05,03:58:57,2025-01-05,06:58:57,112,km,3.2,Ml
61 km al O de Quintero,-32.662 ,-72.167,2025-01-05,01:55:18,2025-01-05,04:55:18,25,km,2.6,Ml
59 km al SO de OllagÃ¼e,-21.682 ,-68.547,2025-01-05,00:09:03,2025-01-05,03:09:03,132,km,3.2,Ml
26 km al E de Los Andes,-32.880 ,-70.330,2025-01-04,22:48:35,2025-01-05,01:48:35,115,km,2.6,Ml
60 km al NE de Los Andes,-32.396 ,-70.229,2025-01-04,21:49:16,2025-01-05,00:49:16,15,km,2.8,Ml
49 km al NO de Tongoy,-29.979 ,-71.898,2025-01-04,21:43:55,2025-01-05,00:43:55,44,km,2.8,Ml
