evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
39 km al SO de Pichidangui,-32.435 ,-71.743,2025-01-11,20:29:59,2025-01-11,23:29:59,34,km,3.1,Ml
21 km al NE de Calama,-22.351 ,-68.769,2025-01-11,19:57:52,2025-01-11,22:57:52,124,km,2.9,Ml
48 km al SO de Mina Collahuasi,-21.146 ,-68.971,2025-01-11,18:47:18,2025-01-11,21:47:18,98,km,3.3,Ml
32 km al S de OllagÃ¼e,-21.509 ,-68.293,2025-01-11,17:56:08,2025-01-11,20:56:08,145,km,2.9,Ml
84 km al NO de San Antonio de los Cobres,-23.867 ,-67.052,2025-01-11,17:00:35,2025-01-11,20:00:35,244,km,3.2,Ml
53 km al NO de Tongoy,-29.955 ,-71.922,2025-01-11,16:00:28,2025-01-11,19:00:28,29,km,3.5,Ml
44 km al S de Taltal,-25.796 ,-70.565,2025-01-11,15:47:03,2025-01-11,18:47:03,38,km,3.0,Ml
40 km al O de OllagÃ¼e,-21.212 ,-68.639,2025-01-11,13:41:02,2025-01-11,16:41:02,118,km,2.7,Ml
76 km al NE de Calama,-21.904 ,-68.521,2025-01-11,10:53:27,2025-01-11,13:53:27,116,km,3.2,Ml
61 km al NE de Calama,-22.045 ,-68.556,2025-01-11,10:10:39,2025-01-11,13:10:39,125,km,2.7,Ml
61 km al SO de Mina Collahuasi,-21.293 ,-68.974,2025-01-11,08:35:59,2025-01-11,11:35:59,112,km,3.3,Ml
33 km al S de Calama,-22.765 ,-68.887,2025-01-11,08:28:43,2025-01-11,11:28:43,104,km,2.7,Ml
25 km al E de CuricÃ³,-34.899 ,-70.985,2025-01-11,07:55:08,2025-01-11,10:55:08,102,km,2.5,Ml
82 km al SE de Socaire,-24.225 ,-67.473,2025-01-11,07:28:04,2025-01-11,10:28:04,207,km,3.5,Ml
53 km al NE de Alto del Carmen,-28.368 ,-70.174,2025-01-11,06:50:29,2025-01-11,09:50:29,99,km,2.8,Ml
41 km al N de Mejillones,-22.739 ,-70.540,2025-01-11,05:43:57,2025-01-11,08:43:57,31,km,2.9,Ml
79 km al SE de Socaire,-24.209 ,-67.503,2025-01-11,05:33:29,2025-01-11,08:33:29,238,km,3.1,Ml
119 km al E de CopiapÃ³,-27.561 ,-69.147,2025-01-11,04:55:19,2025-01-11,07:55:19,120,km,2.5,Ml
34 km al SE de CamiÃ±a,-19.449 ,-69.131,2025-01-11,03:41:44,2025-01-11,06:41:44,7,km,2.5,Ml
77 km al SE de Socaire,-24.162 ,-67.458,2025-01-11,03:25:41,2025-01-11,06:25:41,200,km,2.7,Ml
57 km al NE de Calama,-22.000 ,-68.710,2025-01-11,01:07:55,2025-01-11,04:07:55,114,km,2.6,Ml
77 km al SE de Socaire,-24.160 ,-67.469,2025-01-10,23:48:22,2025-01-11,02:48:22,210,km,3.0,Ml
48 km al E de Socaire,-23.631 ,-67.423,2025-01-10,23:26:33,2025-01-11,02:26:33,209,km,3.0,Ml
28 km al N de Calama,-22.222 ,-68.882,2025-01-10,23:22:07,2025-01-11,02:22:07,121,km,2.5,Ml
42 km al E de Pica,-20.523 ,-68.932,2025-01-10,22:50:44,2025-01-11,01:50:44,111,km,3.1,Ml
