evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
28 km al S de Pichidangui,-32.384 ,-71.582,2025-01-10,20:38:28,2025-01-10,23:38:28,40,km,2.7,Ml
81 km al SE de Socaire,-24.197 ,-67.451,2025-01-10,18:39:24,2025-01-10,21:39:24,193,km,3.3,Ml
113 km al S de Mina La Escondida,-25.283 ,-69.168,2025-01-10,15:09:22,2025-01-10,18:09:22,116,km,2.5,Ml
5 km al SO de Putre,-18.235 ,-69.590,2025-01-10,13:02:39,2025-01-10,16:02:39,116,km,3.0,Ml
78 km al SE de Socaire,-24.119 ,-67.388,2025-01-10,12:04:47,2025-01-10,15:04:47,216,km,2.8,Ml
131 km al NO de Lebu,-37.018 ,-74.943,2025-01-10,11:55:41,2025-01-10,14:55:41,29,km,3.5,Ml
16 km al O de Los Vilos,-31.912 ,-71.677,2025-01-10,10:41:19,2025-01-10,13:41:19,59,km,3.1,Ml
17 km al E de La Higuera,-29.459 ,-71.035,2025-01-10,10:03:34,2025-01-10,13:03:34,54,km,3.5,Ml
26 km al S de San Pedro de Atacama,-23.142 ,-68.116,2025-01-10,05:13:02,2025-01-10,08:13:02,199,km,3.5,Ml
64 km al E de Socaire,-23.573 ,-67.267,2025-01-10,03:46:19,2025-01-10,06:46:19,256,km,3.4,Ml
25 km al NO de Calama,-22.321 ,-69.115,2025-01-10,03:14:11,2025-01-10,06:14:11,98,km,3.8,Ml
16 km al E de Cami̱a,-19.303 ,-69.274,2025-01-09,23:16:39,2025-01-10,02:16:39,105,km,4.2,Ml
60 km al N de Calama,-21.935 ,-68.887,2025-01-09,21:44:24,2025-01-10,00:44:24,91,km,2.8,Ml
