evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
14 km al SO de Cuya,-19.259 ,-70.258,2025-01-06,19:20:42,2025-01-06,22:20:42,43,km,2.7,Mlv
62 km al NE de Vallenar,-28.134 ,-70.371,2025-01-06,17:44:42,2025-01-06,20:44:42,103,km,3.9,Ml
42 km al S de Mina Collahuasi,-21.188 ,-68.771,2025-01-06,14:26:28,2025-01-06,17:26:28,110,km,2.6,Ml
63 km al SE de Socaire,-24.116 ,-67.654,2025-01-06,12:09:54,2025-01-06,15:09:54,235,km,3.2,Ml
69 km al E de Quillagua,-21.533 ,-68.880,2025-01-06,11:47:10,2025-01-06,14:47:10,93,km,3.0,Ml
98 km al NE de San Pedro de Atacama,-22.338 ,-67.480,2025-01-06,11:12:10,2025-01-06,14:12:10,123,km,2.7,Ml
107 km al SE de CopiapÃ³,-28.035 ,-69.551,2025-01-06,09:30:30,2025-01-06,12:30:30,112,km,2.6,Ml
32 km al SO de Mina Collahuasi,-21.039 ,-68.862,2025-01-06,09:21:53,2025-01-06,12:21:53,110,km,2.8,Ml
39 km al SO de Mina Collahuasi,-21.067 ,-68.934,2025-01-06,09:07:44,2025-01-06,12:07:44,110,km,2.6,Ml
29 km al O de Mina Collahuasi,-20.827 ,-68.941,2025-01-06,06:54:05,2025-01-06,09:54:05,97,km,2.7,Ml
50 km al NO de Tongoy,-29.969 ,-71.896,2025-01-06,06:36:25,2025-01-06,09:36:25,38,km,2.5,Ml
16 km al O de Ovalle,-30.610 ,-71.368,2025-01-06,04:42:47,2025-01-06,07:42:47,34,km,2.5,Ml
51 km al NO de Tongoy,-29.965 ,-71.901,2025-01-06,04:28:01,2025-01-06,07:28:01,36,km,3.9,Ml
36 km al S de OllagÃ¼e,-21.543 ,-68.320,2025-01-06,04:03:41,2025-01-06,07:03:41,145,km,3.3,Ml
60 km al SE de Socaire,-24.063 ,-67.602,2025-01-06,03:15:50,2025-01-06,06:15:50,252,km,3.3,Ml
70 km al SE de Socaire,-24.128 ,-67.525,2025-01-06,02:45:52,2025-01-06,05:45:52,230,km,3.7,Ml
97 km al O de Pisagua,-19.912 ,-71.081,2025-01-06,02:36:42,2025-01-06,05:36:42,37,km,2.7,Ml
31 km al E de Quillagua,-21.609 ,-69.238,2025-01-06,02:30:50,2025-01-06,05:30:50,83,km,2.6,Ml
40 km al NE de Mina Collahuasi,-20.605 ,-68.353,2025-01-06,01:20:46,2025-01-06,04:20:46,154,km,3.0,Ml
28 km al SE de Sierra Gorda,-23.091 ,-69.154,2025-01-06,00:41:40,2025-01-06,03:41:40,96,km,2.5,Ml
61 km al SE de Socaire,-23.894 ,-67.394,2025-01-05,22:36:56,2025-01-06,01:36:56,250,km,2.7,Ml
19 km al N de Pica,-20.323 ,-69.292,2025-01-05,21:07:26,2025-01-06,00:07:26,94,km,3.0,Ml
