evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
61 km al N de Calama,-21.925 ,-68.921,2025-01-08,20:17:40,2025-01-08,23:17:40,120,km,3.1,Ml
35 km al O de Mejillones,-23.183 ,-70.779,2025-01-08,17:30:20,2025-01-08,20:30:20,25,km,4.7,Mw
24 km al N de Farellones,-33.137 ,-70.374,2025-01-08,16:01:08,2025-01-08,19:01:08,101,km,2.6,Ml
41 km al O de Mejillones,-23.105 ,-70.847,2025-01-08,13:58:50,2025-01-08,16:58:50,21,km,3.3,Ml
36 km al NO de Quintero,-32.512 ,-71.756,2025-01-08,13:20:21,2025-01-08,16:20:21,22,km,3.1,Ml
57 km al S de Putre,-18.691 ,-69.401,2025-01-08,13:04:07,2025-01-08,16:04:07,116,km,2.9,Ml
80 km al SE de Socaire,-24.068 ,-67.297,2025-01-08,11:25:43,2025-01-08,14:25:43,223,km,3.5,Ml
56 km al E de Quillagua,-21.736 ,-69.003,2025-01-08,10:56:18,2025-01-08,13:56:18,92,km,2.5,Ml
80 km al O de Navidad,-33.645 ,-72.610,2025-01-08,09:35:13,2025-01-08,12:35:13,36,km,3.1,Ml
46 km al E de Quillagua,-21.735 ,-69.099,2025-01-08,08:53:07,2025-01-08,11:53:07,91,km,3.4,Ml
48 km al NO de Quillagua,-21.316 ,-69.812,2025-01-08,08:14:53,2025-01-08,11:14:53,50,km,2.3,Ml
66 km al NO de Tongoy,-29.933 ,-72.069,2025-01-08,07:44:52,2025-01-08,10:44:52,36,km,2.6,Ml
78 km al SE de Socaire,-24.046 ,-67.303,2025-01-08,07:39:19,2025-01-08,10:39:19,227,km,3.5,Ml
27 km al NE de Calama,-22.297 ,-68.743,2025-01-08,07:06:11,2025-01-08,10:06:11,116,km,2.8,Ml
43 km al N de Calama,-22.084 ,-68.877,2025-01-08,06:10:14,2025-01-08,09:10:14,126,km,3.0,Ml
37 km al NO de Punta de Choros,-29.027 ,-71.755,2025-01-08,01:54:24,2025-01-08,04:54:24,40,km,2.9,Ml
6 km al SO de Cuya,-19.204 ,-70.216,2025-01-08,01:42:16,2025-01-08,04:42:16,54,km,3.2,Ml
19 km al S de Tongoy,-30.427 ,-71.527,2025-01-08,01:31:19,2025-01-08,04:31:19,40,km,3.1,Ml
33 km al SO de Pichilemu,-34.525 ,-72.333,2025-01-08,00:45:33,2025-01-08,03:45:33,25,km,2.6,Ml
42 km al NO de Quintero,-32.490 ,-71.826,2025-01-08,00:32:39,2025-01-08,03:32:39,34,km,2.6,Ml
33 km al N de Los Andes,-32.539 ,-70.586,2025-01-07,22:56:05,2025-01-08,01:56:05,100,km,2.8,Ml
29 km al NE de Mina La Escondida,-24.030 ,-68.950,2025-01-07,22:16:42,2025-01-08,01:16:42,105,km,3.5,Ml
