evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al SO de OllagÃ¼e,-21.563 ,-68.402,2025-01-01,20:59:55,2025-01-01,23:59:55,129,km,3.2,Ml
13 km al SO de Carrizal Bajo,-28.143 ,-71.266,2025-01-01,18:32:46,2025-01-01,21:32:46,38,km,2.7,Ml
142 km al SE de CopiapÃ³,-28.103 ,-69.151,2025-01-01,15:36:36,2025-01-01,18:36:36,124,km,3.8,Ml
56 km al SO de Taltal,-25.806 ,-70.828,2025-01-01,13:10:25,2025-01-01,16:10:25,40,km,3.6,Ml
20 km al S de Pica,-20.656 ,-69.393,2025-01-01,09:20:04,2025-01-01,12:20:04,82,km,2.5,Ml
66 km al SO de OllagÃ¼e,-21.688 ,-68.649,2025-01-01,07:01:38,2025-01-01,10:01:38,121,km,3.2,Ml
41 km al SO de CamiÃ±a,-19.621 ,-69.635,2025-01-01,06:59:14,2025-01-01,09:59:14,77,km,3.2,Ml
59 km al NO de Tongoy,-29.982 ,-72.020,2025-01-01,06:48:36,2025-01-01,09:48:36,35,km,2.6,Ml
90 km al NE de Los Andes,-32.408 ,-69.784,2025-01-01,06:09:00,2025-01-01,09:09:00,134,km,4.1,Ml
66 km al O de Iquique,-20.159 ,-70.786,2025-01-01,05:14:29,2025-01-01,08:14:29,30,km,2.8,Ml
4 km al E de Calama,-22.473 ,-68.889,2025-01-01,05:08:32,2025-01-01,08:08:32,111,km,3.8,Ml
41 km al SO de Lebu,-37.787 ,-74.068,2025-01-01,04:02:46,2025-01-01,07:02:46,44,km,2.7,Ml
43 km al SE de Pica,-20.830 ,-69.138,2025-01-01,02:02:57,2025-01-01,05:02:57,108,km,3.0,Ml
38 km al SE de Pica,-20.729 ,-69.069,2025-01-01,01:22:40,2025-01-01,04:22:40,102,km,3.1,Ml
117 km al E de Socaire,-23.168 ,-66.842,2025-01-01,00:56:40,2025-01-01,03:56:40,238,km,5.0,Mw
