evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
50 km al SE de Rancagua,-34.466 ,-70.336,2025-01-04,20:36:46,2025-01-04,23:36:46,20,km,2.5,Ml
32 km al E de San JosÃ© de Maipo,-33.557 ,-70.023,2025-01-04,19:17:43,2025-01-04,22:17:43,4,km,2.5,Ml
40 km al SO de Mina Collahuasi,-21.103 ,-68.906,2025-01-04,18:48:10,2025-01-04,21:48:10,110,km,2.5,Ml
12 km al N de CuricÃ³,-34.877 ,-71.256,2025-01-04,17:37:44,2025-01-04,20:37:44,90,km,2.7,Ml
59 km al NO de Tongoy,-29.938 ,-71.992,2025-01-04,17:22:48,2025-01-04,20:22:48,34,km,2.6,Ml
33 km al SO de Huasco,-28.687 ,-71.452,2025-01-04,16:11:33,2025-01-04,19:11:33,23,km,3.3,Ml
32 km al SE de La Ligua,-32.586 ,-70.929,2025-01-04,13:30:04,2025-01-04,16:30:04,87,km,2.5,Ml
48 km al SO de OllagÃ¼e,-21.586 ,-68.510,2025-01-04,12:11:36,2025-01-04,15:11:36,130,km,2.5,Ml
54 km al S de Socaire,-24.049 ,-67.704,2025-01-04,10:58:19,2025-01-04,13:58:19,246,km,3.0,Ml
29 km al SE de Talca,-35.556 ,-71.387,2025-01-04,10:44:45,2025-01-04,13:44:45,91,km,2.6,Ml
86 km al N de Mina La Escondida,-23.545 ,-68.763,2025-01-04,10:28:57,2025-01-04,13:28:57,111,km,3.0,Ml
69 km al SE de Socaire,-24.097 ,-67.491,2025-01-04,10:01:38,2025-01-04,13:01:38,270,km,3.0,Ml
57 km al O de Socaire,-23.544 ,-68.451,2025-01-04,09:58:08,2025-01-04,12:58:08,144,km,2.5,Ml
35 km al O de Mina Collahuasi,-20.865 ,-68.995,2025-01-04,09:28:16,2025-01-04,12:28:16,102,km,2.9,Ml
80 km al SE de Socaire,-24.129 ,-67.368,2025-01-04,07:26:28,2025-01-04,10:26:28,233,km,2.9,Ml
74 km al SE de Socaire,-23.900 ,-67.243,2025-01-04,06:47:40,2025-01-04,09:47:40,227,km,3.4,Ml
23 km al N de Quintero,-32.565 ,-71.545,2025-01-04,06:29:24,2025-01-04,09:29:24,24,km,2.6,Ml
33 km al NO de Iquique,-20.085 ,-70.441,2025-01-04,06:03:41,2025-01-04,09:03:41,41,km,3.9,Ml
23 km al SO de Rancagua,-34.283 ,-70.950,2025-01-04,05:40:08,2025-01-04,08:40:08,83,km,3.0,Ml
46 km al SO de Mina Collahuasi,-21.121 ,-68.967,2025-01-04,03:10:02,2025-01-04,06:10:02,110,km,3.0,Ml
45 km al SO de Huasco,-28.801 ,-71.473,2025-01-04,01:43:41,2025-01-04,04:43:41,43,km,2.6,Ml
43 km al N de Calama,-22.094 ,-68.822,2025-01-03,23:12:31,2025-01-04,02:12:31,119,km,3.0,Ml
56 km al S de Socaire,-24.080 ,-67.760,2025-01-03,22:19:32,2025-01-04,01:19:32,239,km,2.9,Ml
52 km al E de Quillagua,-21.744 ,-69.043,2025-01-03,21:51:43,2025-01-04,00:51:43,93,km,2.7,Ml
