evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
80 km al SO de San Pedro de Atacama,-23.447 ,-68.729,2024-12-15,19:36:14,2024-12-15,22:36:14,103,km,3.5,Ml
93 km al NE de El Salvador,-25.605 ,-69.030,2024-12-15,17:09:59,2024-12-15,20:09:59,120,km,3.0,Ml
61 km al E de Caleta El Cobre,-24.306 ,-69.922,2024-12-15,13:35:08,2024-12-15,16:35:08,76,km,3.9,Ml
3 km al S de Huasco,-28.489 ,-71.224,2024-12-15,12:59:53,2024-12-15,15:59:53,29,km,2.5,Ml
52 km al SO de San Pedro de Atacama,-23.351 ,-68.388,2024-12-15,10:47:51,2024-12-15,13:47:51,147,km,2.7,Ml
41 km al NE de San Pedro de Atacama,-22.588 ,-68.017,2024-12-15,10:21:46,2024-12-15,13:21:46,195,km,4.0,Ml
32 km al O de Pichidangui,-32.233 ,-71.846,2024-12-15,09:22:33,2024-12-15,12:22:33,28,km,3.2,Ml
37 km al N de Punta de Choros,-28.920 ,-71.447,2024-12-15,09:20:43,2024-12-15,12:20:43,18,km,3.0,Ml
47 km al E de Sierra Gorda,-22.922 ,-68.862,2024-12-15,07:11:01,2024-12-15,10:11:01,94,km,3.3,Ml
8 km al NO de Farellones,-33.312 ,-70.378,2024-12-15,07:02:55,2024-12-15,10:02:55,106,km,3.2,Ml
18 km al O de ConcepciÃ³n,-36.823 ,-73.249,2024-12-15,06:51:46,2024-12-15,09:51:46,28,km,3.0,Ml
28 km al SO de Mina Collahuasi,-21.048 ,-68.777,2024-12-15,06:20:42,2024-12-15,09:20:42,109,km,2.6,Ml
55 km al SO de Mina Collahuasi,-21.279 ,-68.865,2024-12-15,06:13:19,2024-12-15,09:13:19,118,km,3.6,Ml
61 km al N de Pica,-19.978 ,-69.133,2024-12-15,06:05:16,2024-12-15,09:05:16,97,km,2.5,Ml
44 km al O de Pichidangui,-32.261 ,-71.973,2024-12-15,05:20:02,2024-12-15,08:20:02,32,km,4.2,Ml
38 km al O de Mina Collahuasi,-20.886 ,-69.017,2024-12-15,03:43:12,2024-12-15,06:43:12,105,km,2.5,Ml
64 km al NE de Calama,-22.065 ,-68.482,2024-12-15,03:18:42,2024-12-15,06:18:42,117,km,2.6,Ml
23 km al S de Pichidangui,-32.336 ,-71.574,2024-12-15,02:59:30,2024-12-15,05:59:30,67,km,2.6,Ml
23 km al SE de Calama,-22.571 ,-68.733,2024-12-15,00:45:28,2024-12-15,03:45:28,103,km,2.8,Ml
46 km al S de Mina Collahuasi,-21.241 ,-68.711,2024-12-14,21:56:48,2024-12-15,00:56:48,113,km,2.5,Ml
67 km al SO de OllagÃ¼e,-21.758 ,-68.555,2024-12-14,21:12:29,2024-12-15,00:12:29,127,km,2.6,Ml
