evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
82 km al SE de Socaire,-23.995 ,-67.214,2024-12-26,19:45:39,2024-12-26,22:45:39,222,km,3.3,Ml
13 km al N de Casablanca,-33.207 ,-71.378,2024-12-26,19:32:55,2024-12-26,22:32:55,51,km,2.8,Ml
76 km al SE de Socaire,-24.030 ,-67.316,2024-12-26,19:01:26,2024-12-26,22:01:26,221,km,3.0,Ml
29 km al NO de Navidad,-33.737 ,-72.015,2024-12-26,18:48:11,2024-12-26,21:48:11,32,km,2.6,Ml
1 km al E de Parque Fray Jorge,-30.659 ,-71.668,2024-12-26,18:07:23,2024-12-26,21:07:23,38,km,3.5,Ml
43 km al SO de Mina Collahuasi,-21.066 ,-68.985,2024-12-26,17:56:25,2024-12-26,20:56:25,113,km,2.7,Ml
34 km al SE de Putre,-18.439 ,-69.368,2024-12-26,17:39:17,2024-12-26,20:39:17,129,km,2.9,Ml
60 km al S de CamiÃ±a,-19.838 ,-69.315,2024-12-26,16:37:01,2024-12-26,19:37:01,111,km,3.0,Ml
47 km al SO de Mina Collahuasi,-21.187 ,-68.890,2024-12-26,16:35:39,2024-12-26,19:35:39,112,km,2.8,Ml
30 km al E de Sierra Gorda,-22.798 ,-69.046,2024-12-26,15:50:18,2024-12-26,18:50:18,104,km,2.9,Ml
11 km al E de Parque Fray Jorge,-30.682 ,-71.574,2024-12-26,15:06:25,2024-12-26,18:06:25,37,km,2.7,Ml
31 km al NO de OllagÃ¼e,-21.062 ,-68.496,2024-12-26,15:05:39,2024-12-26,18:05:39,123,km,3.5,Ml
103 km al S de Ilo,-18.569 ,-71.380,2024-12-26,14:12:21,2024-12-26,17:12:21,25,km,3.8,Ml
66 km al SO de Arica,-18.809 ,-70.844,2024-12-26,13:55:03,2024-12-26,16:55:03,17,km,2.5,Ml
31 km al O de Pichidangui,-32.253 ,-71.832,2024-12-26,13:32:07,2024-12-26,16:32:07,30,km,2.6,Ml
23 km al E de OllagÃ¼e,-21.284 ,-68.041,2024-12-26,13:17:57,2024-12-26,16:17:57,175,km,2.9,Ml
75 km al SO de San Pedro de Atacama,-23.454 ,-68.656,2024-12-26,12:16:13,2024-12-26,15:16:13,117,km,2.6,Ml
82 km al NE de San Pedro de Atacama,-22.305 ,-67.763,2024-12-26,11:08:27,2024-12-26,14:08:27,226,km,3.1,Ml
90 km al E de Alto del Carmen,-29.038 ,-69.615,2024-12-26,11:07:12,2024-12-26,14:07:12,122,km,3.1,Ml
76 km al NE de Paihuano,-29.463 ,-70.085,2024-12-26,10:30:56,2024-12-26,13:30:56,100,km,2.6,Ml
46 km al SO de Mina Collahuasi,-21.105 ,-68.988,2024-12-26,10:07:11,2024-12-26,13:07:11,112,km,2.8,Ml
63 km al SO de OllagÃ¼e,-21.705 ,-68.579,2024-12-26,09:43:03,2024-12-26,12:43:03,139,km,3.2,Ml
84 km al SO de Pisagua,-19.910 ,-70.948,2024-12-26,08:24:47,2024-12-26,11:24:47,46,km,3.8,Ml
18 km al O de Pichidangui,-32.118 ,-71.722,2024-12-26,08:12:32,2024-12-26,11:12:32,30,km,2.7,Ml
35 km al E de Sierra Gorda,-22.974 ,-68.995,2024-12-26,06:00:04,2024-12-26,09:00:04,104,km,2.9,Ml
24 km al SO de Tongoy,-30.444 ,-71.622,2024-12-26,05:32:13,2024-12-26,08:32:13,27,km,2.8,Ml
78 km al SE de Socaire,-24.162 ,-67.445,2024-12-26,03:51:27,2024-12-26,06:51:27,233,km,3.1,Ml
22 km al SO de La Serena,-30.011 ,-71.439,2024-12-26,02:26:47,2024-12-26,05:26:47,46,km,2.7,Ml
47 km al SO de Mina Collahuasi,-21.222 ,-68.830,2024-12-26,02:12:22,2024-12-26,05:12:22,113,km,2.5,Ml
76 km al O de Quintero,-32.689 ,-72.333,2024-12-26,01:43:38,2024-12-26,04:43:38,29,km,2.5,Ml
23 km al O de ValparaÃ­so,-32.984 ,-71.847,2024-12-25,23:19:39,2024-12-26,02:19:39,41,km,2.8,Ml
44 km al SO de Mina Collahuasi,-21.094 ,-68.975,2024-12-25,22:49:56,2024-12-26,01:49:56,112,km,2.7,Ml
78 km al SE de Socaire,-24.150 ,-67.425,2024-12-25,21:21:25,2024-12-26,00:21:25,205,km,2.9,Ml
