evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al E de CamiÃ±a,-19.346 ,-69.246,2024-12-28,18:21:08,2024-12-28,21:21:08,124,km,3.4,Ml
72 km al SE de Socaire,-23.989 ,-67.330,2024-12-28,17:35:09,2024-12-28,20:35:09,233,km,3.5,Ml
38 km al S de OllagÃ¼e,-21.565 ,-68.225,2024-12-28,16:01:14,2024-12-28,19:01:14,120,km,2.9,Ml
82 km al SE de Socaire,-24.227 ,-67.477,2024-12-28,13:55:17,2024-12-28,16:55:17,234,km,4.5,Ml
68 km al SE de Socaire,-24.103 ,-67.519,2024-12-28,13:46:57,2024-12-28,16:46:57,210,km,3.1,Ml
83 km al SE de Socaire,-23.968 ,-67.191,2024-12-28,13:17:59,2024-12-28,16:17:59,245,km,3.1,Ml
57 km al NE de Calama,-22.015 ,-68.682,2024-12-28,12:45:58,2024-12-28,15:45:58,139,km,2.9,Ml
18 km al NE de Talca,-35.338 ,-71.495,2024-12-28,11:40:03,2024-12-28,14:40:03,72,km,2.6,Ml
28 km al O de Baquedano,-23.259 ,-70.109,2024-12-28,10:51:19,2024-12-28,13:51:19,54,km,2.8,Ml
27 km al S de Calama,-22.701 ,-69.005,2024-12-28,10:02:00,2024-12-28,13:02:00,123,km,2.6,Ml
4 km al E de CamiÃ±a,-19.316 ,-69.386,2024-12-28,09:56:00,2024-12-28,12:56:00,114,km,2.9,Ml
82 km al E de Socaire,-23.769 ,-67.111,2024-12-28,09:36:38,2024-12-28,12:36:38,240,km,2.8,Ml
89 km al O de San Antonio de los Cobres,-24.075 ,-67.176,2024-12-28,08:19:53,2024-12-28,11:19:53,201,km,3.1,Ml
89 km al E de Socaire,-23.761 ,-67.040,2024-12-28,06:55:21,2024-12-28,09:55:21,226,km,2.6,Ml
86 km al SE de Socaire,-24.103 ,-67.263,2024-12-28,03:31:00,2024-12-28,06:31:00,220,km,3.1,Ml
30 km al O de Mina Collahuasi,-20.929 ,-68.925,2024-12-28,03:00:15,2024-12-28,06:00:15,104,km,2.5,Ml
39 km al O de Ralco,-37.753 ,-72.055,2024-12-28,01:28:28,2024-12-28,04:28:28,90,km,2.9,Ml
34 km al SO de OllagÃ¼e,-21.493 ,-68.415,2024-12-28,01:17:50,2024-12-28,04:17:50,134,km,3.6,Ml
69 km al SE de Socaire,-23.905 ,-67.303,2024-12-28,01:04:26,2024-12-28,04:04:26,258,km,2.6,Ml
35 km al NE de Isla Guafo,-43.346 ,-74.442,2024-12-28,00:17:41,2024-12-28,03:17:41,25,km,3.4,Ml
6 km al E de Pichidangui,-32.150 ,-71.472,2024-12-27,23:31:15,2024-12-28,02:31:15,47,km,3.0,Ml
61 km al SE de Socaire,-23.982 ,-67.474,2024-12-27,21:48:08,2024-12-28,00:48:08,225,km,2.6,Ml
