evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
158 km al NO de La Rioja,-28.110 ,-67.480,2024-12-24,19:42:26,2024-12-24,22:42:26,116,km,6.0,Mww
19 km al O de Melipilla,-33.676 ,-71.423,2024-12-24,17:31:06,2024-12-24,20:31:06,45,km,2.9,Ml
108 km al SE de Socaire,-24.445 ,-67.386,2024-12-24,17:07:47,2024-12-24,20:07:47,178,km,4.2,Ml
17 km al N de Villarrica,-39.140 ,-72.278,2024-12-24,13:49:54,2024-12-24,16:49:54,98,km,4.9,Mw
56 km al O de OllagÃ¼e,-21.340 ,-68.779,2024-12-24,13:32:10,2024-12-24,16:32:10,119,km,3.1,Ml
72 km al SE de Socaire,-24.006 ,-67.347,2024-12-24,12:28:49,2024-12-24,15:28:49,212,km,3.1,Ml
35 km al NO de Quillagua,-21.447 ,-69.779,2024-12-24,12:10:25,2024-12-24,15:10:25,35,km,2.9,Ml
33 km al NO de Navidad,-33.758 ,-72.103,2024-12-24,12:05:25,2024-12-24,15:05:25,35,km,3.7,Ml
49 km al SO de Punta de Choros,-29.522 ,-71.864,2024-12-24,11:45:59,2024-12-24,14:45:59,43,km,3.3,Ml
83 km al SE de Socaire,-24.252 ,-67.515,2024-12-24,11:10:52,2024-12-24,14:10:52,200,km,3.7,Ml
20 km al NO de Calama,-22.369 ,-69.089,2024-12-24,05:18:18,2024-12-24,08:18:18,82,km,2.8,Ml
20 km al O de Quintero,-32.747 ,-71.734,2024-12-24,04:33:17,2024-12-24,07:33:17,38,km,2.5,Ml
75 km al SE de Colchane,-19.834 ,-68.233,2024-12-24,04:24:32,2024-12-24,07:24:32,197,km,3.7,Ml
19 km al S de Pozo Almonte,-20.428 ,-69.788,2024-12-24,02:28:24,2024-12-24,05:28:24,54,km,3.7,Ml
3 km al SE de La Higuera,-29.526 ,-71.181,2024-12-24,00:07:41,2024-12-24,03:07:41,29,km,2.7,Ml
8 km al S de OllagÃ¼e,-21.289 ,-68.279,2024-12-23,23:24:03,2024-12-24,02:24:03,155,km,3.1,Ml
