evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
59 km al O de Los Vilos,-31.727 ,-72.092,2024-12-16,20:56:57,2024-12-16,23:56:57,31,km,2.6,Ml
68 km al SO de OllagÃ¼e,-21.663 ,-68.710,2024-12-16,20:46:56,2024-12-16,23:46:56,124,km,3.0,Ml
16 km al S de Mina La Escondida,-24.411 ,-69.099,2024-12-16,19:58:48,2024-12-16,22:58:48,88,km,3.6,Ml
41 km al E de Sierra Gorda,-22.930 ,-68.921,2024-12-16,18:15:35,2024-12-16,21:15:35,108,km,3.5,Ml
47 km al SE de CuricÃ³,-35.301 ,-70.895,2024-12-16,17:42:51,2024-12-16,20:42:51,114,km,3.2,Ml
33 km al SO de OllagÃ¼e,-21.406 ,-68.507,2024-12-16,16:16:10,2024-12-16,19:16:10,141,km,3.4,Ml
20 km al SO de OllagÃ¼e,-21.323 ,-68.412,2024-12-16,14:20:46,2024-12-16,17:20:46,122,km,3.3,Ml
11 km al SE de Pica,-20.535 ,-69.237,2024-12-16,14:11:33,2024-12-16,17:11:33,110,km,2.7,Ml
54 km al SE de CuricÃ³,-35.369 ,-70.884,2024-12-16,13:50:38,2024-12-16,16:50:38,102,km,2.8,Ml
69 km al SO de OllagÃ¼e,-21.776 ,-68.561,2024-12-16,13:21:49,2024-12-16,16:21:49,110,km,3.2,Ml
74 km al NE de Calama,-21.905 ,-68.543,2024-12-16,11:53:03,2024-12-16,14:53:03,115,km,3.8,Ml
67 km al SO de Mina La Escondida,-24.779 ,-69.403,2024-12-16,10:54:18,2024-12-16,13:54:18,89,km,3.8,Ml
149 km al N de San Antonio de los Cobres,-22.908 ,-66.571,2024-12-16,08:16:27,2024-12-16,11:16:27,250,km,3.5,Ml
66 km al O de San Antonio de los Cobres,-24.211 ,-66.972,2024-12-16,07:25:19,2024-12-16,10:25:19,224,km,3.8,Ml
83 km al N de El Salvador,-25.498 ,-69.605,2024-12-16,04:44:30,2024-12-16,07:44:30,101,km,3.3,Ml
26 km al SE de Tocopilla,-22.233 ,-69.997,2024-12-16,03:07:53,2024-12-16,06:07:53,54,km,4.8,Mw
37 km al NO de Los Vilos,-31.642 ,-71.732,2024-12-16,00:33:03,2024-12-16,03:33:03,28,km,2.6,Ml
26 km al O de Mina Collahuasi,-20.824 ,-68.908,2024-12-16,00:28:44,2024-12-16,03:28:44,104,km,3.0,Ml
28 km al SO de Pichidangui,-32.295 ,-71.753,2024-12-15,21:39:35,2024-12-16,00:39:35,19,km,3.6,Ml
67 km al E de Los Andes,-32.573 ,-69.948,2024-12-15,21:11:35,2024-12-16,00:11:35,138,km,2.9,Ml
