evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
53 km al O de OllagÃ¼e,-21.366 ,-68.738,2024-12-18,18:40:35,2024-12-18,21:40:35,121,km,3.3,Ml
51 km al S de Mina Collahuasi,-21.268 ,-68.801,2024-12-18,17:58:23,2024-12-18,20:58:23,116,km,2.5,Ml
54 km al E de Linares,-36.014 ,-71.039,2024-12-18,16:20:16,2024-12-18,19:20:16,158,km,3.5,Ml
8 km al SO de San Pedro de Atacama,-22.953 ,-68.268,2024-12-18,13:54:57,2024-12-18,16:54:57,138,km,3.0,Ml
44 km al O de Mina Collahuasi,-20.834 ,-69.085,2024-12-18,12:59:28,2024-12-18,15:59:28,111,km,2.7,Ml
19 km al O de CamiÃ±a,-19.345 ,-69.605,2024-12-18,12:39:40,2024-12-18,15:39:40,81,km,4.2,Ml
133 km al O de ToltÃ©n,-39.168 ,-74.712,2024-12-18,11:46:08,2024-12-18,14:46:08,31,km,3.8,Ml
76 km al S de Socaire,-24.235 ,-67.654,2024-12-18,11:25:35,2024-12-18,14:25:35,233,km,2.6,Ml
19 km al SE de Cuya,-19.313 ,-70.106,2024-12-18,10:02:25,2024-12-18,13:02:25,45,km,3.7,Ml
71 km al SE de Socaire,-24.180 ,-67.631,2024-12-18,08:35:51,2024-12-18,11:35:51,210,km,2.8,Ml
41 km al O de La Higuera,-29.602 ,-71.609,2024-12-18,08:24:31,2024-12-18,11:24:31,64,km,3.1,Ml
67 km al SO de OllagÃ¼e,-21.738 ,-68.590,2024-12-18,06:59:24,2024-12-18,09:59:24,120,km,3.3,Ml
74 km al E de Socaire,-23.697 ,-67.176,2024-12-18,05:55:55,2024-12-18,08:55:55,233,km,3.1,Ml
58 km al NE de San Pedro de Atacama,-22.476 ,-67.894,2024-12-18,05:45:54,2024-12-18,08:45:54,205,km,2.6,Ml
49 km al N de Mejillones,-22.657 ,-70.475,2024-12-18,05:25:13,2024-12-18,08:25:13,51,km,4.2,Ml
38 km al E de Carrizal Bajo,-28.165 ,-70.776,2024-12-18,04:58:16,2024-12-18,07:58:16,51,km,4.0,Ml
41 km al NE de Pica,-20.292 ,-68.999,2024-12-18,02:59:22,2024-12-18,05:59:22,105,km,2.9,Ml
86 km al SE de Socaire,-24.071 ,-67.225,2024-12-18,02:31:37,2024-12-18,05:31:37,222,km,3.4,Ml
51 km al NE de Pica,-20.157 ,-68.993,2024-12-18,02:15:02,2024-12-18,05:15:02,100,km,2.6,Ml
57 km al SE de San JosÃ© de Maipo,-34.093 ,-70.052,2024-12-18,01:54:08,2024-12-18,04:54:08,4,km,3.1,Ml
15 km al E de Iquique,-20.160 ,-70.020,2024-12-18,01:09:13,2024-12-18,04:09:13,52,km,5.3,Mw
81 km al O de Cobquecura,-35.806 ,-73.597,2024-12-18,01:03:30,2024-12-18,04:03:30,37,km,2.9,Ml
14 km al NO de Paposo,-24.931 ,-70.574,2024-12-18,00:28:44,2024-12-18,03:28:44,25,km,2.7,Ml
13 km al SO de Tongoy,-30.349 ,-71.577,2024-12-17,23:49:00,2024-12-18,02:49:00,41,km,2.9,Ml
