evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
9 km al N de ValparaÃ­so,-32.970 ,-71.646,2024-12-25,20:20:48,2024-12-25,23:20:48,46,km,3.2,Ml
30 km al O de ValparaÃ­so,-32.980 ,-71.926,2024-12-25,20:14:32,2024-12-25,23:14:32,35,km,4.3,Ml
94 km al NE de Alto del Carmen,-28.340 ,-69.650,2024-12-25,19:53:02,2024-12-25,22:53:02,112,km,3.1,Ml
36 km al S de Pichidangui,-32.444 ,-71.642,2024-12-25,19:45:15,2024-12-25,22:45:15,33,km,2.7,Ml
77 km al SE de Socaire,-24.008 ,-67.285,2024-12-25,17:25:10,2024-12-25,20:25:10,251,km,3.6,Ml
31 km al S de Mina Collahuasi,-21.098 ,-68.728,2024-12-25,16:44:02,2024-12-25,19:44:02,116,km,3.5,Ml
76 km al SE de Socaire,-23.975 ,-67.277,2024-12-25,16:07:08,2024-12-25,19:07:08,224,km,4.5,Mw
22 km al E de San Pedro de Atacama,-22.860 ,-67.998,2024-12-25,13:28:05,2024-12-25,16:28:05,176,km,3.0,Ml
33 km al S de OllagÃ¼e,-21.513 ,-68.337,2024-12-25,11:14:27,2024-12-25,14:14:27,144,km,2.7,Ml
67 km al E de Quillagua,-21.663 ,-68.889,2024-12-25,10:42:54,2024-12-25,13:42:54,94,km,3.1,Ml
21 km al SO de Patache,-20.972 ,-70.313,2024-12-25,09:54:59,2024-12-25,12:54:59,65,km,2.5,Ml
18 km al E de Pica,-20.549 ,-69.167,2024-12-25,09:33:23,2024-12-25,12:33:23,95,km,2.6,Ml
28 km al SO de OllagÃ¼e,-21.411 ,-68.440,2024-12-25,08:08:14,2024-12-25,11:08:14,121,km,2.6,Ml
63 km al NO de ValparaÃ­so,-32.789 ,-72.216,2024-12-25,07:17:49,2024-12-25,10:17:49,24,km,2.7,Ml
35 km al NO de Mina Collahuasi,-20.638 ,-68.921,2024-12-25,06:49:51,2024-12-25,09:49:51,109,km,2.7,Ml
21 km al NE de CuricÃ³,-34.847 ,-71.083,2024-12-25,03:17:52,2024-12-25,06:17:52,94,km,2.6,Ml
79 km al NO de ConstituciÃ³n,-34.759 ,-72.933,2024-12-25,02:59:37,2024-12-25,05:59:37,42,km,3.8,Ml
95 km al E de Mina La Escondida,-24.506 ,-68.160,2024-12-25,02:48:16,2024-12-25,05:48:16,170,km,3.2,Ml
14 km al SE de Cabo Raper,-46.918 ,-75.558,2024-12-25,02:33:11,2024-12-25,05:33:11,20,km,3.7,Ml
14 km al O de La Serena,-29.925 ,-71.399,2024-12-25,01:02:35,2024-12-25,04:02:35,54,km,3.4,Ml
36 km al O de OllagÃ¼e,-21.175 ,-68.598,2024-12-24,21:36:35,2024-12-25,00:36:35,144,km,3.1,Ml
