evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
48 km al SO de Mina Collahuasi,-21.096 ,-69.025,2024-10-14,18:37:31,2024-10-14,21:37:31,108,km,4.0,Ml
24 km al S de Putre,-18.412 ,-69.554,2024-10-14,17:49:08,2024-10-14,20:49:08,127,km,2.5,Ml
80 km al NO de San Antonio de los Cobres,-23.719 ,-66.876,2024-10-14,13:45:40,2024-10-14,16:45:40,228,km,2.9,Ml
29 km al N de Calama,-22.208 ,-68.955,2024-10-14,13:33:14,2024-10-14,16:33:14,123,km,2.5,Ml
10 km al N de Quintero,-32.692 ,-71.496,2024-10-14,13:07:00,2024-10-14,16:07:00,32,km,2.8,Ml
42 km al O de La Serena,-29.827 ,-71.680,2024-10-14,12:48:09,2024-10-14,15:48:09,47,km,2.6,Ml
39 km al SO de Mina Collahuasi,-21.134 ,-68.844,2024-10-14,12:38:08,2024-10-14,15:38:08,132,km,2.9,Ml
59 km al S de Mina Collahuasi,-21.339 ,-68.813,2024-10-14,12:30:18,2024-10-14,15:30:18,126,km,3.4,Ml
32 km al O de San MartÃ­n de Los Andes,-40.218 ,-71.717,2024-10-14,10:59:05,2024-10-14,13:59:05,154,km,2.8,Ml
26 km al SE de Sierra Gorda,-23.091 ,-69.183,2024-10-14,04:50:25,2024-10-14,07:50:25,98,km,2.6,Ml
12 km al NO de Lebu,-37.531 ,-73.745,2024-10-14,02:46:36,2024-10-14,05:46:36,22,km,3.2,Ml
13 km al NO de Pisagua,-19.508 ,-70.293,2024-10-14,00:48:52,2024-10-14,03:48:52,51,km,3.1,Ml
34 km al N de Pica,-20.189 ,-69.288,2024-10-14,00:21:51,2024-10-14,03:21:51,100,km,4.5,Mw
12 km al E de Las Cabras,-34.280 ,-71.173,2024-10-13,21:34:58,2024-10-14,00:34:58,75,km,2.5,Ml
31 km al NE de Mina Los Pelambres,-31.682 ,-70.305,2024-10-13,21:24:58,2024-10-14,00:24:58,130,km,2.9,Ml
